method,global_sens,std_sens,global_eval,std_eval,post_hoc
Baseline,0.8406000137329102,0.0916825016231055,0.849399983882904,0.08568796739901896,True
Focal Loss FT,0.840399980545044,0.09270072618349043,0.8464000225067139,0.08757344454219652,False
Class-Balanced FT,0.8392000198364258,0.08309956883273736,0.8442000150680542,0.07972486999338059,False
Spectral Surgery,0.8471999764442444,0.0523814617437072,0.8468000292778015,0.0552426304992061,True
