n_hvp,cosine_matched_mean,cosine_matched_min,cosine_diag_mean,hvp_time_s,lanczos_time_s,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,subspace_max_angle_k3,subspace_mean_angle_k3,subspace_max_angle_k6,subspace_mean_angle_k6,subspace_max_angle_k9,subspace_mean_angle_k9
64,0.5179116287876018,0.20620555499983936,0.2866505842822422,5.514909267425537,96.89903998374939,897.4990747846718,431.80028541337356,220.94826419717987,171.8426248930581,121.51360164171338,111.71421242392763,79.46474010274068,74.02967758420024,55.035774819743054,59.37813027783339,33.0063947350371,88.14387752629543,38.68379358204816,76.88623215252196,34.703006037576024
128,0.6351714036940996,0.44411985423024164,0.5327238252695639,6.315626859664917,126.29078006744385,639.9183650470194,357.3103742971029,319.32716179755556,146.31536965666572,126.70551555971747,112.25326312625765,91.55854427568832,71.13666397166358,55.82065949960933,42.645479153204974,23.07530835610727,34.5960229702039,20.569309470573998,58.87261392657964,24.17254946870863
256,0.8026737082926696,0.6192943177337187,0.7698751482257715,9.31511926651001,174.36079478263855,462.59532520962006,324.7763172633826,248.77671889640484,176.7160870767245,133.06777735679302,108.02668342782331,93.03399907754094,76.07375427845191,53.9572081096715,35.49959649406655,18.263999057846647,23.676938011916203,12.749672582546625,44.38409929050794,14.321320464130004
512,0.9999999999927408,0.9999999999913559,0.9999999999927408,12.650882720947266,260.6668059825897,522.025596636101,295.99962263657324,262.03890526065237,175.93691640581278,139.40921375965993,95.65920026587693,74.95699186332193,58.40805566370845,42.874575794994215,0.0,0.0,0.0,0.0,0.0,0.0
