iteration,acc_global,std,std_ema,alpha_max,lambda_max,alpha_norm,rolled_back,elapsed_s,MEL,NV,BCC,AK,BKL,DF,VASC,SCC,d_MEL,d_NV,d_BCC,d_AK,d_BKL,d_DF,d_VASC,d_SCC
1,0.7163712382316589,0.09078611587626849,0.09078611587626849,0.009999591172183131,8591.42578125,0.014732900332294284,True,317.47325801849365,0.696,0.904,0.82,0.656,0.636,0.7093596059113301,0.6372093023255814,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.7163712382316589,0.09078611587626849,0.09078611587626849,0.0010055903678461541,8599.7041015625,0.013806040033096009,True,370.73798298835754,0.696,0.904,0.82,0.656,0.636,0.7093596059113301,0.6372093023255814,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.7210636138916016,0.08544582477144383,0.08918402854482109,0.0012000994480483587,8593.41796875,0.0014483423834372525,False,384.4596800804138,0.708,0.896,0.82,0.652,0.656,0.7142857142857143,0.6465116279069767,0.664,0.01200000000000001,-0.008000000000000007,0.0,-0.0040000000000000036,0.020000000000000018,0.0049261083743842304,0.009302325581395321,0.0040000000000000036
4,0.723670482635498,0.08312607283617893,0.08736664183222843,0.0017449279640381426,9800.1435546875,0.0017805493842459996,False,413.39808797836304,0.708,0.892,0.824,0.648,0.664,0.7142857142857143,0.6558139534883721,0.672,0.0,-0.0040000000000000036,0.0040000000000000036,-0.0040000000000000036,0.008000000000000007,0.0,0.009302325581395432,0.008000000000000007
5,0.7262773513793945,0.07603378635010305,0.08396678518759082,0.005287912830656849,9620.2939453125,0.0025665816183837566,False,384.40407514572144,0.708,0.88,0.82,0.648,0.688,0.7093596059113301,0.6744186046511628,0.672,0.0,-0.01200000000000001,-0.0040000000000000036,0.0,0.02399999999999991,-0.0049261083743842304,0.018604651162790642,0.0
6,0.7262773513793945,0.07603378635010305,0.08158688553634448,0.0014851856416300073,10784.6904296875,0.0074994825430906,True,414.4789092540741,0.708,0.88,0.82,0.648,0.688,0.7093596059113301,0.6744186046511628,0.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7252346277236938,0.07691662967447059,0.08018580877778231,0.0015783623990074413,10795.80859375,0.0022201587892630268,False,403.3919141292572,0.704,0.884,0.816,0.652,0.688,0.7093596059113301,0.6651162790697674,0.672,-0.0040000000000000036,0.0040000000000000036,-0.0040000000000000036,0.0040000000000000036,0.0,0.0,-0.009302325581395321,0.0
8,0.7210636138916016,0.07426805549731154,0.07841048279364107,0.0022459176402122773,10328.017578125,0.0022230413736365547,False,400.49807500839233,0.692,0.88,0.8,0.652,0.676,0.7192118226600985,0.6744186046511628,0.668,-0.01200000000000001,-0.0040000000000000036,-0.015999999999999903,0.0,-0.0119999999999999,0.009852216748768461,0.009302325581395321,-0.0040000000000000036
