iteration,acc_global,std,std_ema,val_global,val_bal,val_std,alpha_max,lambda_max,alpha_norm,rolled_back,elapsed_s,MEL,NV,BCC,AK,BKL,DF,VASC,SCC,d_MEL,d_NV,d_BCC,d_AK,d_BKL,d_DF,d_VASC,d_SCC,val_MEL,val_NV,val_BCC,val_AK,val_BKL,val_DF,val_VASC,val_SCC
1,0.7778936624526978,0.07303846454497609,0.09104163835852191,0.6647368669509888,0.5569740613895469,0.11459060886369077,0.009999591417593105,11040.9375,0.01437892372634622,False,521.4075379371643,0.704,0.812,0.8,0.66,0.756,0.7881773399014779,0.9209302325581395,0.804,0.0,0.0040000000000000036,-0.01200000000000001,0.08800000000000008,0.05600000000000005,0.0788177339901478,0.0046511627906976605,-0.019999999999999907,0.5457227138643068,0.7650103519668737,0.6506024096385542,0.49230769230769234,0.5431472081218274,0.4444444444444444,0.631578947368421,0.3829787234042553
2,0.7778936624526978,0.07303846454497609,0.08564068621445817,0.6647368669509888,0.5569740613895469,0.11459060886369077,0.00406992528898199,8576.833984375,0.015283558855737865,True,557.9553608894348,0.704,0.812,0.8,0.66,0.756,0.7881773399014779,0.9209302325581395,0.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5457227138643068,0.7650103519668737,0.6506024096385542,0.49230769230769234,0.5431472081218274,0.4444444444444444,0.631578947368421,0.3829787234042553
3,0.7815432548522949,0.07616487959023488,0.08279794422719118,0.667894721031189,0.5677985332428249,0.11957809916573114,0.0020863922962881397,8577.5009765625,0.006106253154643107,False,573.4662079811096,0.688,0.82,0.776,0.684,0.772,0.8226600985221675,0.9395348837209302,0.78,-0.016000000000000014,0.007999999999999896,-0.02400000000000002,0.02400000000000002,0.016000000000000014,0.03448275862068961,0.018604651162790642,-0.02400000000000002,0.5221238938053098,0.7753623188405797,0.642570281124498,0.46153846153846156,0.5736040609137056,0.5,0.6842105263157895,0.3829787234042553
4,0.7815432548522949,0.07120927143236491,0.0793213423887433,0.6715789437294006,0.5631234027225048,0.12295289071511624,0.009551298032120695,8430.2666015625,0.003288273824019734,False,538.2721347808838,0.704,0.82,0.78,0.676,0.768,0.812807881773399,0.9255813953488372,0.792,0.016000000000000014,0.0,0.0040000000000000036,-0.008000000000000007,-0.0040000000000000036,-0.009852216748768461,-0.013953488372092981,0.01200000000000001,0.5398230088495575,0.7815734989648033,0.6265060240963856,0.47692307692307695,0.5685279187817259,0.4444444444444444,0.6842105263157895,0.3829787234042553
5,0.7778936624526978,0.06506706006101276,0.07504505769042413,0.6673684120178223,0.568879897875298,0.11062548177153247,0.009960996350842192,8107.44775390625,0.012373938972438294,False,546.9176077842712,0.668,0.808,0.792,0.708,0.784,0.7931034482758621,0.9023255813953488,0.788,-0.03599999999999992,-0.0119999999999999,0.01200000000000001,0.03199999999999992,0.016000000000000014,-0.019704433497536922,-0.023255813953488413,-0.0040000000000000036,0.5073746312684366,0.7670807453416149,0.6385542168674698,0.5384615384615384,0.6192893401015228,0.4444444444444444,0.631578947368421,0.40425531914893614
