iteration,bal_acc,std,std_ema,alpha_max,lambda_max,rolled_back,elapsed_s,omega_mode,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,d_plane,d_car,d_bird,d_cat,d_deer,d_dog,d_frog,d_horse,d_ship,d_truck
1,0.8488303704367102,0.07914841742517052,0.087922276363725,0.01999918283184412,556.1294555664062,False,68.3,sqrt,0.8711018711018711,0.9173553719008265,0.8,0.679920477137177,0.8641732283464567,0.7368421052631579,0.8959537572254336,0.8910505836575876,0.9352818371607515,0.8966244725738397,-0.012474012474012475,0.0020661157024793875,-0.005714285714285672,0.041749502982107334,-0.009842519685039353,0.029239766081871288,0.028901734104046284,-0.009727626459143934,0.0041753653444676075,0.0
2,0.849984160574936,0.07176739144547974,0.08307581088825142,0.01999871906999485,406.5820007324219,False,71.0,sqrt,0.8586278586278586,0.9173553719008265,0.7961904761904762,0.6998011928429424,0.8720472440944882,0.7524366471734892,0.884393063583815,0.8891050583657587,0.9269311064718163,0.9029535864978903,-0.012474012474012475,0.0,-0.003809523809523818,0.01988071570576544,0.007874015748031482,0.015594541910331383,-0.011560693641618602,-0.0019455252918288979,-0.008350730688935215,0.006329113924050556
3,0.8502338948313819,0.07343529447728926,0.08018365596496277,0.019975693798177097,362.6206970214844,False,69.0,sqrt,0.8607068607068608,0.9214876033057852,0.7980952380952381,0.6739562624254473,0.8523622047244095,0.7933723196881092,0.8786127167630058,0.8832684824902723,0.9227557411273486,0.9177215189873418,0.0020790020790021346,0.004132231404958664,0.0019047619047618536,-0.025844930417495138,-0.019685039370078705,0.040935672514619936,-0.00578034682080919,-0.005836575875486361,-0.0041753653444677186,0.014767932489451518
4,0.8478235364769322,0.06209420810748216,0.07475682160771858,0.01999289899358598,458.54425048828125,False,72.8,sqrt,0.8648648648648649,0.9132231404958677,0.8076190476190476,0.7017892644135189,0.8464566929133859,0.7875243664717348,0.8728323699421965,0.8832684824902723,0.8977035490605428,0.9029535864978903,0.004158004158004158,-0.008264462809917439,0.00952380952380949,0.027833001988071593,-0.0059055118110236116,-0.005847953216374324,-0.005780346820809301,0.0,-0.025052192066805756,-0.014767932489451518
5,0.8478235364769322,0.06209420810748216,0.07095803755764765,0.005600961261597315,442.3692321777344,True,77.1,sqrt,0.8648648648648649,0.9132231404958677,0.8076190476190476,0.7017892644135189,0.8464566929133859,0.7875243664717348,0.8728323699421965,0.8832684824902723,0.8977035490605428,0.9029535864978903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.8514590231042798,0.05724576221956224,0.06684435495622203,0.008787930077704252,442.3396911621094,False,78.1,sqrt,0.8669438669438669,0.9152892561983471,0.8133333333333334,0.7276341948310139,0.8503937007874016,0.7816764132553606,0.8747591522157996,0.8754863813229572,0.8997912317327766,0.9092827004219409,0.0020790020790020236,0.0020661157024793875,0.005714285714285783,0.025844930417495027,0.003937007874015741,-0.005847953216374213,0.0019267822736031004,-0.0077821011673151474,0.0020876826722338038,0.006329113924050667
7,0.8514590231042798,0.05724576221956224,0.0639647771352241,0.0038121274194674896,455.282470703125,True,84.0,sqrt,0.8669438669438669,0.9152892561983471,0.8133333333333334,0.7276341948310139,0.8503937007874016,0.7816764132553606,0.8747591522157996,0.8754863813229572,0.8997912317327766,0.9092827004219409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.8532218939727043,0.058042093098444165,0.06218797192419012,0.00409009475536807,455.3174743652344,False,86.8,sqrt,0.8711018711018711,0.9152892561983471,0.819047619047619,0.7256461232604374,0.8543307086614174,0.7797270955165692,0.8728323699421965,0.8852140077821011,0.9039665970772442,0.9050632911392406,0.004158004158004158,0.0,0.005714285714285672,-0.001988071570576455,0.003937007874015741,-0.0019493177387914784,-0.0019267822736031004,0.009727626459143934,0.0041753653444676075,-0.00421940928270037
9,0.8541986813420653,0.0576917698490569,0.06083911130165015,0.004645547381190935,392.4033508300781,False,83.7,sqrt,0.8773388773388774,0.9152892561983471,0.8266666666666667,0.7216699801192843,0.8543307086614174,0.7855750487329435,0.8709055876685935,0.8832684824902723,0.9018789144050104,0.9050632911392406,0.006237006237006293,0.0,0.007619047619047636,-0.003976143141153132,0.0,0.005847953216374324,-0.0019267822736029894,-0.0019455252918287869,-0.0020876826722338038,0.0
10,0.8544362903057037,0.0592750273319677,0.06036988611074542,0.004637838622486878,385.42352294921875,False,86.0,sqrt,0.8898128898128899,0.9152892561983471,0.8304761904761905,0.7216699801192843,0.8523622047244095,0.7758284600389863,0.8670520231213873,0.8891050583657587,0.8977035490605428,0.9050632911392406,0.012474012474012475,0.0,0.003809523809523818,0.0,-0.0019685039370078705,-0.00974658869395717,-0.003853564547206201,0.005836575875486361,-0.0041753653444676075,0.0
11,0.8536051471324461,0.057451454466176326,0.05949435661737469,0.005689874819087055,407.2406005859375,False,86.6,sqrt,0.8814968814968815,0.9152892561983471,0.819047619047619,0.7335984095427436,0.8543307086614174,0.7699805068226121,0.8786127167630058,0.8852140077821011,0.9039665970772442,0.8945147679324894,-0.008316008316008316,0.0,-0.011428571428571455,0.011928429423459286,0.0019685039370078705,-0.005847953216374213,0.011560693641618491,-0.0038910505836575737,0.006263048016701411,-0.010548523206751148
