epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7345223426818848,4.999999873689376e-05,0.38420072197914124,0.667894721031189,0.5199222564697266
1,0.7454832792282104,4.999999873689376e-05,0.3653988242149353,0.6942105293273926,0.4919757544994354
2,0.7520784139633179,4.999999873689376e-05,0.34790870547294617,0.6963157653808594,0.4933962821960449
3,0.7582555413246155,4.999999873689376e-05,0.3328026235103607,0.6947368383407593,0.49378257989883423
4,0.7653615474700928,4.999999873689376e-05,0.32070666551589966,0.6926316022872925,0.48096147179603577
5,0.7697738409042358,4.999999873689376e-05,0.30993103981018066,0.6994736790657043,0.487545907497406
6,0.7741860747337341,4.999999873689376e-05,0.2924070656299591,0.7021052837371826,0.4815649688243866
7,0.7811992168426514,4.999999873689376e-05,0.2849966287612915,0.7047368288040161,0.47288838028907776
8,0.7908132672309875,4.999999873689376e-05,0.26984161138534546,0.7015789747238159,0.475441575050354
9,0.7957363724708557,4.999999873689376e-05,0.25755181908607483,0.7052631378173828,0.45322370529174805
