iteration,bal_acc,std,std_ema,alpha_max,lambda_max,rolled_back,elapsed_s,omega_mode,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,d_plane,d_car,d_bird,d_cat,d_deer,d_dog,d_frog,d_horse,d_ship,d_truck
1,0.8521695173051533,0.06855314288600886,0.08474369400197651,0.019999182834830508,556.1727294921875,False,107.2,square,0.8690228690228691,0.9173553719008265,0.7980952380952381,0.7117296222664016,0.8622047244094488,0.7563352826510721,0.8882466281310212,0.8929961089494164,0.9227557411273486,0.9029535864978903,-0.014553014553014498,0.0020661157024793875,-0.007619047619047636,0.07355864811133195,-0.011811023622047223,0.04873294346978552,0.021194605009633882,-0.0077821011673151474,-0.008350730688935326,0.006329113924050556
2,0.8521695173051533,0.06855314288600886,0.07988652866718621,0.002306028121548886,387.06793212890625,True,109.9,square,0.8690228690228691,0.9173553719008265,0.7980952380952381,0.7117296222664016,0.8622047244094488,0.7563352826510721,0.8882466281310212,0.8929961089494164,0.9227557411273486,0.9029535864978903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.8523630769193478,0.06232401169174709,0.07461777357455447,0.0034717772677429325,387.0984802246094,False,134.0,square,0.8711018711018711,0.9173553719008265,0.8,0.7296222664015904,0.8622047244094488,0.7621832358674464,0.8786127167630058,0.8852140077821011,0.9164926931106472,0.9008438818565401,0.0020790020790020236,0.0,0.0019047619047619646,0.017892644135188873,0.0,0.005847953216374324,-0.009633911368015391,-0.0077821011673152585,-0.006263048016701411,-0.002109704641350185
4,0.8508876807609855,0.05706230796086943,0.06935113389044896,0.005454132937258561,439.7017822265625,False,109.6,square,0.8711018711018711,0.9111570247933884,0.8019047619047619,0.7475149105367793,0.8562992125984252,0.7582846003898636,0.8786127167630058,0.8813229571984436,0.906054279749478,0.8966244725738397,0.0,-0.006198347107438051,0.0019047619047618536,0.017892644135188873,-0.0059055118110236116,-0.003898635477582846,0.0,-0.0038910505836575737,-0.01043841336116913,-0.00421940928270037
5,0.8525593691703112,0.06045064490498598,0.06668098719481007,0.005187908268969014,463.9787292480469,False,112.9,square,0.8731808731808732,0.9132231404958677,0.8019047619047619,0.7335984095427436,0.8484251968503937,0.7680311890838206,0.8786127167630058,0.8891050583657587,0.9102296450939458,0.9092827004219409,0.0020790020790021346,0.0020661157024792765,0.0,-0.013916500994035741,-0.007874015748031482,0.009746588693957059,0.0,0.0077821011673151474,0.0041753653444677186,0.012658227848101222
6,0.8521328382178923,0.05865030246762889,0.06427178177665571,0.006299353133235612,423.7010803222656,False,114.7,square,0.8752598752598753,0.9152892561983471,0.8038095238095239,0.73558648111332,0.8523622047244095,0.7699805068226121,0.8709055876685935,0.8891050583657587,0.9039665970772442,0.9050632911392406,0.0020790020790020236,0.0020661157024793875,0.0019047619047619646,0.001988071570576455,0.003937007874015741,0.0019493177387914784,-0.0077071290944122905,0.0,-0.006263048016701522,-0.00421940928270037
7,0.8513206830090722,0.05696404246434461,0.06207945998296238,0.007342818564669934,468.3061218261719,False,120.2,square,0.8711018711018711,0.9173553719008265,0.8038095238095239,0.73558648111332,0.844488188976378,0.7797270955165692,0.8709055876685935,0.8832684824902723,0.8997912317327766,0.9071729957805907,-0.004158004158004158,0.0020661157024793875,0.0,0.0,-0.007874015748031482,0.009746588693957059,0.0,-0.005836575875486361,-0.0041753653444676075,0.002109704641350185
8,0.8497016240285227,0.05446457623839766,0.05979499485959297,0.00861424355207038,475.08245849609375,False,126.3,square,0.8752598752598753,0.9152892561983471,0.8152380952380952,0.7455268389662028,0.8346456692913385,0.7699805068226121,0.861271676300578,0.8813229571984436,0.9039665970772442,0.8945147679324894,0.004158004158004158,-0.0020661157024793875,0.011428571428571344,0.00994035785288272,-0.009842519685039464,-0.009746588693957059,-0.009633911368015502,-0.0019455252918287869,0.0041753653444676075,-0.012658227848101333
9,0.8502849081349483,0.052370017840226685,0.057567501753783085,0.009646662301247291,427.34991455078125,False,116.7,square,0.8669438669438669,0.9194214876033058,0.819047619047619,0.7475149105367793,0.8346456692913385,0.7816764132553606,0.8535645472061657,0.8793774319066148,0.8977035490605428,0.9029535864978903,-0.008316008316008316,0.004132231404958664,0.003809523809523818,0.001988071570576566,0.0,0.011695906432748537,-0.0077071290944122905,-0.0019455252918287869,-0.006263048016701411,0.008438818565400852
10,0.8502849081349483,0.052370017840226685,0.05600825657971616,0.005191824982276754,398.0646667480469,True,132.1,square,0.8669438669438669,0.9194214876033058,0.819047619047619,0.7475149105367793,0.8346456692913385,0.7816764132553606,0.8535645472061657,0.8793774319066148,0.8977035490605428,0.9029535864978903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
