alpha_max,alpha_norm,lin_err_rel,lin_err_abs,pred_norm,obs_norm
0.0005,0.0005524702271713383,2.652600572811383,0.001632321700509442,0.0006153665641334802,0.0019685039370079815
0.0012,0.0013259285442516339,1.94162238760035,0.0028675428171619456,0.0014768797658467154,0.0027391833936135693
0.0018,0.0019888926983606422,0.789823996158991,0.0017497125180867528,0.0022153195225718832,0.0019685039370079815
0.0025,0.0027623509471871735,1.4772252743616112,0.004545174913031741,0.0030768326212100294,0.00281015159908933
0.0032,0.003535809191250259,1.32226591907146,0.0052075403167095155,0.003938345715184452,0.004472989958217154
0.0039,0.004309267466603332,1.193352592306469,0.005727924059419403,0.004799858898658508,0.004472989958217154
0.0045,0.004972231617386902,1.1256963040838506,0.006234442389225911,0.005538298710414458,0.004472989958217154
0.0052,0.005745690114959585,1.1604896738053019,0.007426915760306577,0.0063998120172438595,0.004025891146012815
0.0059,0.006519148591534933,1.1243746653492184,0.008164450200837869,0.007261325297028175,0.004025891146012815
0.0066,0.0072926066565918305,1.0610515526736832,0.00861875026757567,0.00812283837279892,0.005698395115230363
0.0072,0.00795557079344238,0.8238568614558829,0.0073004247559507905,0.008861278090285984,0.006336130860869612
0.0079,0.008729028753557626,0.8160376489279734,0.007934163418220218,0.009722790889174425,0.006336130860869612
0.0086,0.009502487788588131,0.7689117939332983,0.008138396717448638,0.010584304703947132,0.00717955940335929
0.0092,0.010165451913317794,0.9130260737479838,0.010337961000136859,0.011322744549560776,0.00766867232746075
0.0099,0.010938909967582863,0.8894323484909075,0.010837072812014669,0.01218425755528438,0.007379032207953629
0.0106,0.01171236790861593,0.7064055978149966,0.00921560512676071,0.013045770242005107,0.008544125038023107
0.0113,0.012485826968972734,0.730608148490451,0.010160775178664578,0.013907284225693766,0.009263291799002562
0.0119,0.013148791088839267,0.7321566844902792,0.010722964713248267,0.01464572398285689,0.009263291799002562
0.0126,0.01392224913402467,0.8314216628496077,0.012893052651294704,0.015507236853927,0.009051716257343256
0.0133,0.014695707125378436,0.7841602026514511,0.012835721761572612,0.01636874929149895,0.012992673894079581
0.0139,0.015358671316579602,0.7781439588505329,0.01331185613331447,0.017107189462703818,0.012992673894079581
0.0146,0.016132130252203603,0.7492859605845487,0.013463697089933392,0.017968703269750058,0.011542864366797547
0.0153,0.016905588302052913,0.7597671914931878,0.014306580341481617,0.018830216020995282,0.013522200214489594
0.016,0.017679047269509283,0.7409312079897403,0.014590217335043981,0.01969173005228039,0.013681087247921402
0.0166,0.01834201048755393,0.7831701228537279,0.016000297873787626,0.02043016888270135,0.0136587224976191
0.0173,0.019115469411136583,0.7183287806920676,0.015294428264612773,0.021291682410215403,0.014077845130452779
0.018,0.019888926469547732,0.7166483281452242,0.015876050046348934,0.022153194841657058,0.013918867405190645
0.0187,0.020662385531525766,0.7194225944688462,0.016557301217180544,0.023014708384860912,0.013918867405190645
0.0193,0.021325350636135117,0.6633437758639997,0.015756503839860565,0.023753149442516212,0.015035845753626266
0.02,0.02209880757749709,0.6633602638572165,0.016328387995600744,0.02461466096967682,0.01852165910720391
0.022,0.02430868871744266,0.6796309808881934,0.01840177532386649,0.027076127841932182,0.019110120309769673
0.025,0.027623510502586695,0.7350949730478354,0.0226176428226303,0.03076832742965647,0.01732427285081739
0.028,0.030938332297133823,0.6974335533889501,0.024033928076037717,0.034460527399711,0.021023636461723873
0.03,0.0331482113745081,0.8270259040251497,0.030535443320901298,0.036921991405933906,0.020800110285054806
0.035,0.038672914167765665,0.7157339041861833,0.030830708758901596,0.04307565783677285,0.023861345565014427
0.04,0.04419761515499472,0.7527974115943199,0.03705970613049368,0.04922932193936001,0.02815846862699318
0.045,0.04972231998156294,0.6842577896220751,0.037896242765058256,0.05538299065033497,0.03443932616658654
0.05,0.05524702100517355,0.7251789251110214,0.04462508522580571,0.06153665485931464,0.03570864153442856
