iteration,acc_global,std,std_ema,alpha_max,lambda_max,alpha_norm,rolled_back,elapsed_s,apple,aquarium_fish,baby,bear,beaver,bed,bee,beetle,bicycle,bottle,bowl,boy,bridge,bus,butterfly,camel,can,castle,caterpillar,cattle,chair,chimpanzee,clock,cloud,cockroach,couch,crab,crocodile,cup,dinosaur,dolphin,elephant,flatfish,forest,fox,girl,hamster,house,kangaroo,keyboard,lamp,lawn_mower,leopard,lion,lizard,lobster,man,maple_tree,motorcycle,mountain,mouse,mushroom,oak_tree,orange,orchid,otter,palm_tree,pear,pickup_truck,pine_tree,plain,plate,poppy,porcupine,possum,rabbit,raccoon,ray,road,rocket,rose,sea,seal,shark,shrew,skunk,skyscraper,snail,snake,spider,squirrel,streetcar,sunflower,sweet_pepper,table,tank,telephone,television,tiger,tractor,train,trout,tulip,turtle,wardrobe,whale,willow_tree,wolf,woman,worm
1,0.6043999791145325,0.16243039844922696,0.16291236956717364,0.06684706093364316,83.92022372130788,0.0668471928822471,False,253.8189423084259,0.9,0.74,0.5370370370370371,0.29310344827586204,0.4230769230769231,0.6666666666666666,0.8269230769230769,0.7068965517241379,0.7894736842105263,0.7272727272727273,0.4716981132075472,0.29411764705882354,0.5714285714285714,0.42857142857142855,0.5,0.5,0.6326530612244898,0.7674418604651163,0.6481481481481481,0.4339622641509434,0.8627450980392157,0.7142857142857143,0.56,0.7346938775510204,0.8269230769230769,0.38461538461538464,0.5882352941176471,0.4339622641509434,0.6666666666666666,0.6296296296296297,0.44680851063829785,0.625,0.5192307692307693,0.5925925925925926,0.4230769230769231,0.39622641509433965,0.5365853658536586,0.5333333333333333,0.4423076923076923,0.7586206896551724,0.625,0.74,0.5789473684210527,0.58,0.3617021276595745,0.49122807017543857,0.43902439024390244,0.5818181818181818,0.8571428571428571,0.6851851851851852,0.4146341463414634,0.6538461538461539,0.7254901960784313,0.88,0.6862745098039216,0.20833333333333334,0.8392857142857143,0.7272727272727273,0.6909090909090909,0.6111111111111112,0.8301886792452831,0.6346153846153846,0.7254901960784313,0.6829268292682927,0.41818181818181815,0.3220338983050847,0.5869565217391305,0.5,0.8936170212765957,0.7291666666666666,0.6,0.8,0.2571428571428571,0.4807692307692308,0.4444444444444444,0.8490566037735849,0.7777777777777778,0.42857142857142855,0.5272727272727272,0.6521739130434783,0.3333333333333333,0.6470588235294118,0.75,0.5957446808510638,0.5555555555555556,0.782608695652174,0.7551020408163265,0.7547169811320755,0.5531914893617021,0.5789473684210527,0.75,0.72,0.5555555555555556,0.30357142857142855,0.851063829787234,0.7551020408163265,0.46153846153846156,0.66,0.36,0.6304347826086957
2,0.6065999865531921,0.1613198361518254,0.16179759617642986,0.06684706093364316,72.21997563925979,0.06684778581945293,False,255.67576694488525,0.88,0.74,0.5370370370370371,0.25862068965517243,0.4230769230769231,0.6666666666666666,0.7884615384615384,0.6379310344827587,0.8070175438596491,0.75,0.4716981132075472,0.3137254901960784,0.6122448979591837,0.42857142857142855,0.5185185185185185,0.5555555555555556,0.6530612244897959,0.7674418604651163,0.6111111111111112,0.4716981132075472,0.8627450980392157,0.7380952380952381,0.56,0.6938775510204082,0.8653846153846154,0.38461538461538464,0.6078431372549019,0.4339622641509434,0.6666666666666666,0.6296296296296297,0.425531914893617,0.625,0.5192307692307693,0.6296296296296297,0.46153846153846156,0.4339622641509434,0.4634146341463415,0.5166666666666667,0.4230769230769231,0.7758620689655172,0.6666666666666666,0.72,0.5614035087719298,0.54,0.3829787234042553,0.45614035087719296,0.43902439024390244,0.4909090909090909,0.9047619047619048,0.6851851851851852,0.43902439024390244,0.6346153846153846,0.7058823529411765,0.86,0.7450980392156863,0.20833333333333334,0.8392857142857143,0.7045454545454546,0.6545454545454545,0.5925925925925926,0.8679245283018868,0.6346153846153846,0.7058823529411765,0.6341463414634146,0.41818181818181815,0.3389830508474576,0.6304347826086957,0.48,0.9148936170212766,0.7083333333333334,0.62,0.8181818181818182,0.2571428571428571,0.5384615384615384,0.4888888888888889,0.8679245283018868,0.8,0.42857142857142855,0.5454545454545454,0.6739130434782609,0.38461538461538464,0.6470588235294118,0.75,0.574468085106383,0.6222222222222222,0.782608695652174,0.7551020408163265,0.7358490566037735,0.5957446808510638,0.5964912280701754,0.7272727272727273,0.68,0.5370370370370371,0.3392857142857143,0.851063829787234,0.7755102040816326,0.46153846153846156,0.68,0.36,0.6086956521739131
3,0.6087999939918518,0.16494310981701282,0.16399945572483793,0.04679294265355021,96.99222996527563,0.06684706367405814,False,318.34503698349,0.88,0.72,0.48148148148148145,0.27586206896551724,0.46153846153846156,0.6666666666666666,0.8076923076923077,0.6896551724137931,0.8070175438596491,0.7954545454545454,0.4528301886792453,0.3137254901960784,0.5918367346938775,0.40816326530612246,0.5555555555555556,0.4722222222222222,0.673469387755102,0.7441860465116279,0.6296296296296297,0.4339622641509434,0.8627450980392157,0.7142857142857143,0.56,0.673469387755102,0.8269230769230769,0.36538461538461536,0.5686274509803921,0.37735849056603776,0.6862745098039216,0.6851851851851852,0.46808510638297873,0.625,0.5576923076923077,0.6111111111111112,0.4807692307692308,0.4528301886792453,0.4634146341463415,0.5333333333333333,0.46153846153846156,0.7931034482758621,0.625,0.74,0.6140350877192983,0.66,0.3617021276595745,0.47368421052631576,0.4634146341463415,0.6545454545454545,0.8571428571428571,0.6666666666666666,0.3902439024390244,0.6730769230769231,0.7058823529411765,0.86,0.7058823529411765,0.20833333333333334,0.875,0.7045454545454546,0.6909090909090909,0.6111111111111112,0.8301886792452831,0.6153846153846154,0.7254901960784313,0.6341463414634146,0.36363636363636365,0.3050847457627119,0.5652173913043478,0.48,0.9148936170212766,0.7291666666666666,0.66,0.8727272727272727,0.2571428571428571,0.5,0.4888888888888889,0.8490566037735849,0.7777777777777778,0.4523809523809524,0.509090909090909,0.7391304347826086,0.358974358974359,0.6666666666666666,0.75,0.5957446808510638,0.5555555555555556,0.7608695652173914,0.7551020408163265,0.7547169811320755,0.5319148936170213,0.6140350877192983,0.7954545454545454,0.68,0.4444444444444444,0.35714285714285715,0.8723404255319149,0.7551020408163265,0.4807692307692308,0.64,0.36,0.6521739130434783
